Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_biotype	gene_id	gene_name	gene_source	gene_version	r542	r543	r544	r545	r546	r547	r548	r549
X	100627108	100639992	12884	-	ENSG00000000003	protein_coding	ENSG00000000003	TSPAN6	ensembl_havana	16	11.7753	9.60226	2.11983	2.19268	12.4131	13.8067	6.83946	8.45341
20	50934867	50959141	24274	-	ENSG00000000419	protein_coding	ENSG00000000419	DPM1	ensembl_havana	14	5.68263	5.63097	4.9518	3.90354	7.1121	6.30274	3.85806	5.09349
1	169849631	169894268	44637	-	ENSG00000000457	protein_coding	ENSG00000000457	SCYL3	ensembl_havana	14	1.33695	1.42742	1.20361	1.16155	1.34071	1.33318	1.15681	1.21611
1	169662007	169854081	192074	+	ENSG00000000460	protein_coding	ENSG00000000460	C1orf112	ensembl_havana	17	1.3401	1.30341	1.15043	1.15294	1.34545	1.34649	1.18074	1.22534
1	196651754	196752477	100723	+	ENSG00000000971	protein_coding	ENSG00000000971	CFH	ensembl_havana	17	1.00001	1.00307	1.11688	1.1083	1.00898	1.00544	1.10518	1.1609
6	143494812	143511721	16909	-	ENSG00000001036	protein_coding	ENSG00000001036	FUCA2	ensembl_havana	14	5.27283	4.78711	5.14611	4.72917	3.09365	3.14981	3.79741	4.927
6	53497341	53616971	119630	-	ENSG00000001084	protein_coding	ENSG00000001084	GCLC	ensembl_havana	13	1.60928	2.33586	1.28004	1.29931	2.33214	2.28868	1.49604	1.65622
6	41072974	41102404	29430	+	ENSG00000001167	protein_coding	ENSG00000001167	NFYA	ensembl_havana	15	2.91309	2.94124	2.25724	2.37244	3.21552	3.1609	4.53035	5.492
1	24356999	24416935	59936	-	ENSG00000001460	protein_coding	ENSG00000001460	STPG1	ensembl_havana	18	1.11052	1.09796	1.11475	1.10353	1.065	1.08982	1.2394	1.26684
1	24415802	24472977	57175	+	ENSG00000001461	protein_coding	ENSG00000001461	NIPAL3	ensembl_havana	17	1.65227	1.4636	1.45676	1.46483	1.8082	1.82243	2.76295	3.31115
X	65438549	65534811	96262	-	ENSG00000001497	protein_coding	ENSG00000001497	LAS1L	ensembl_havana	18	1.40941	1.3499	1.47247	1.52298	1.37855	1.41305	1.24126	1.27044
6	46129989	46146689	16700	+	ENSG00000001561	protein_coding	ENSG00000001561	ENPP4	ensembl_havana	7	4.38504	4.09836	1.96304	1.79571	11.4745	11.4395	6.86387	8.38435
3	50155045	50189076	34031	+	ENSG00000001617	protein_coding	ENSG00000001617	SEMA3F	ensembl_havana	12	1.24175	1.16849	1.09953	1.15739	1.75848	1.80858	1.04521	1.04742
7	92245974	92401384	155410	+	ENSG00000001629	protein_coding	ENSG00000001629	ANKIB1	ensembl_havana	10	1.73956	1.66257	1.55387	1.53996	1.59504	1.63961	1.54959	1.74528
7	92084987	92134804	49817	-	ENSG00000001630	protein_coding	ENSG00000001630	CYP51A1	ensembl_havana	18	2.90791	2.95315	2.86888	2.63945	4.32341	4.1524	2.85737	3.74836
7	92197498	92246167	48669	-	ENSG00000001631	protein_coding	ENSG00000001631	KRIT1	ensembl_havana	17	1.72226	1.72639	1.80781	1.77363	1.90768	1.74769	1.53528	1.84683
12	911736	990054	78318	-	ENSG00000002016	protein_coding	ENSG00000002016	RAD52	ensembl_havana	18	1.24644	1.2732	1.06405	1.07661	1.12443	1.13557	1.11958	1.19834
7	99238829	99311131	72302	+	ENSG00000002079	transcribed_unitary_pseudogene	ENSG00000002079	MYH16	havana	14	1.00209	1.00427	1	1.00081	1	1	1	1.00099
11	64269830	64284705	14875	-	ENSG00000002330	protein_coding	ENSG00000002330	BAD	ensembl_havana	14	1.07702	1.07555	1.02698	1.06883	1.10293	1.06805	1.10672	1.14946
4	17577198	17607973	30775	+	ENSG00000002549	protein_coding	ENSG00000002549	LAP3	ensembl_havana	13	2.11647	1.89798	1.42933	1.40787	1.92708	1.94269	1.79967	2.19199
X	2691187	2741310	50123	+	ENSG00000002586	protein_coding	ENSG00000002586	CD99	ensembl_havana	20	1.05009	1.05514	1.10137	1.0873	1.05258	1.05944	1.10831	1.14594
4	11393150	11429565	36415	-	ENSG00000002587	protein_coding	ENSG00000002587	HS3ST1	ensembl_havana	10	1.10549	1.11409	1.01278	1.01447	1.03304	1.03232	1.07068	1.10143
7	43112629	43566002	453373	+	ENSG00000002746	protein_coding	ENSG00000002746	HECW1	ensembl_havana	15	1	1.00015	1.002	1.00213	1	1.00006	1.0015	1.00174
7	1815793	2233244	417451	-	ENSG00000002822	protein_coding	ENSG00000002822	MAD1L1	ensembl_havana	16	1.01132	1.00786	1.02496	1.02915	1.02185	1.02244	1.02664	1.03191
17	38869859	38921771	51912	+	ENSG00000002834	protein_coding	ENSG00000002834	LASP1	ensembl_havana	19	4.45207	3.88843	1.6759	1.93934	3.43699	3.66528	4.65356	6.20097
17	48103357	48123602	20245	+	ENSG00000002919	protein_coding	ENSG00000002919	SNX11	ensembl_havana	15	2.22808	1.99723	2.08561	1.99902	2.05422	2.26768	2.12524	2.40637
12	8940361	8949762	9401	-	ENSG00000003056	protein_coding	ENSG00000003056	M6PR	ensembl_havana	8	31.6218	26.1338	13.1773	14.7894	13.9041	15.0233	11.3894	12.4184
X	117897813	118117341	219528	-	ENSG00000003096	protein_coding	ENSG00000003096	KLHL13	ensembl_havana	15	1.00344	1.00156	1.02791	1.02827	1.03471	1.03444	1.03005	1.03071
2	72129238	72147863	18625	-	ENSG00000003137	protein_coding	ENSG00000003137	CYP26B1	ensembl_havana	9	1.52454	1.44428	1.15549	1.17601	1.05691	1.04167	1.78311	2.07817
7	8113184	8262688	149504	-	ENSG00000003147	protein_coding	ENSG00000003147	ICA1	ensembl_havana	19	1.0087	1.00988	1.00052	1.00039	1.0778	1.06917	1.01365	1.01511
16	90004871	90019891	15020	-	ENSG00000003249	protein_coding	ENSG00000003249	DBNDD1	ensembl_havana	15	1.78938	1.68121	1.02926	1.02533	1.23651	1.19337	1.07485	1.05491
2	201700267	201782113	81846	-	ENSG00000003393	protein_coding	ENSG00000003393	ALS2	ensembl_havana	16	1.6408	1.65527	1.43375	1.5332	1.68289	1.68158	1.42798	1.64054
2	201182872	201229429	46557	+	ENSG00000003400	protein_coding	ENSG00000003400	CASP10	ensembl_havana	16	1.33457	1.25074	1.06276	1.07356	1.46703	1.3899	1.08325	1.10475
2	201116154	201176688	60534	+	ENSG00000003402	protein_coding	ENSG00000003402	CFLAR	ensembl_havana	21	1.94116	1.809	2.51072	2.28518	2.06113	1.9456	1.35286	1.56038
2	187464230	187565761	101531	-	ENSG00000003436	protein_coding	ENSG00000003436	TFPI	ensembl_havana	16	1.32888	1.23604	1.67258	1.62442	1.64699	1.60148	2.10204	2.59283
2	37231631	37253404	21773	+	ENSG00000003509	protein_coding	ENSG00000003509	NDUFAF7	ensembl_havana	16	1.29791	1.3636	1.13991	1.17826	1.54771	1.49337	1.1947	1.44036
3	50088919	50119022	30103	+	ENSG00000003756	protein_coding	ENSG00000003756	RBM5	ensembl_havana	17	2.17197	2.49682	2.65545	2.63836	2.1442	2.03534	2.27794	2.90944
8	17296794	17413529	116735	-	ENSG00000003987	protein_coding	ENSG00000003987	MTMR7	ensembl_havana	14	1.01776	1.01642	1.04304	1.03673	1.02989	1.01937	1.04674	1.0683
8	17497088	17570574	73486	+	ENSG00000003989	protein_coding	ENSG00000003989	SLC7A2	ensembl_havana	18	1.00988	1.00561	1.30365	1.42937	1.2764	1.23271	2.35313	3.12852
7	127588386	127591701	3315	+	ENSG00000004059	protein_coding	ENSG00000004059	ARF5	ensembl_havana	11	13.9878	12.5048	10.9585	12.5751	18.3547	20.0142	7.79803	8.55037
17	28364356	28404050	39694	+	ENSG00000004139	protein_coding	ENSG00000004139	SARM1	ensembl_havana	14	1.10949	1.09793	1.24422	1.26535	1.12483	1.18548	1.03992	1.0421
17	28346633	28357528	10895	-	ENSG00000004142	protein_coding	ENSG00000004142	POLDIP2	ensembl_havana	12	4.45384	3.97936	2.21243	2.3538	3.81931	3.92331	3.40704	4.21616
3	129555214	129606677	51463	-	ENSG00000004399	protein_coding	ENSG00000004399	PLXND1	ensembl_havana	13	1.1005	1.08673	1.03668	1.03981	1.12414	1.11969	1.12647	1.17141
1	33007986	33080997	73011	-	ENSG00000004455	protein_coding	ENSG00000004455	AK2	ensembl_havana	18	3.16178	3.03131	3.1064	3.23957	3.68218	3.68223	2.81241	3.25374
4	15778275	15853233	74958	+	ENSG00000004468	protein_coding	ENSG00000004468	CD38	ensembl_havana	13	1.00121	1.00046	1	1	1.01223	1.00501	1.00118	1.00191
12	2794970	2805424	10454	+	ENSG00000004478	protein_coding	ENSG00000004478	FKBP4	ensembl_havana	8	9.76924	9.79879	3.61634	4.09375	3.40878	3.84761	3.32053	3.72686
1	23019443	23083690	64247	+	ENSG00000004487	protein_coding	ENSG00000004487	KDM1A	ensembl_havana	18	2.13599	2.00631	2.21138	2.34895	2.60703	2.51054	1.89381	2.28037
3	49940007	50100046	160039	+	ENSG00000004534	protein_coding	ENSG00000004534	RBM6	ensembl_havana	15	1.12713	1.11113	1.08741	1.09631	1.11198	1.1069	1.10503	1.13694
17	3860315	3894892	34577	-	ENSG00000004660	protein_coding	ENSG00000004660	CAMKK1	ensembl_havana	15	1.02624	1.03475	1.02991	1.03894	1.00497	1.00434	1.05219	1.07882
12	21468910	21501670	32760	-	ENSG00000004700	protein_coding	ENSG00000004700	RECQL	ensembl_havana	16	7.25381	6.68907	6.09069	5.46927	3.50247	3.28426	4.40573	5.31768
7	93232340	93361124	128784	+	ENSG00000004766	protein_coding	ENSG00000004766	VPS50	ensembl_havana	17	1.17239	1.16716	1.19696	1.17341	1.27762	1.25313	1.17735	1.25784
19	35754566	35758080	3514	-	ENSG00000004776	protein_coding	ENSG00000004776	HSPB6	ensembl_havana	13	1.02582	1.01954	1.02207	1.03332	1	1.00713	1	1.0102
